file,seq,side,artist,title,label,catalog_number,barcode,country,year,format,confidence,versions,lowest_price,currency,num_for_sale,discogs_url,other_text
IMG_7636 2.JPG,1,,,,,,,,,,low,,,,,,
IMG_7637.JPG,2,,,,,,,,,,low,,,,,,
IMG_7638.JPG,3,,,,,,,,,,low,,,,,,
IMG_7639.JPG,4,,,,,,,,,,low,,,,,,
IMG_7640.JPG,5,,,,,,,,,,low,,,,,,
IMG_7641.JPG,6,,,,,,,,,,low,,,,,,
IMG_7642.JPG,7,,,,,,,,,,low,,,,,,
IMG_7643.JPG,8,,,,,,,,,,low,,,,,,
IMG_7644.JPG,9,,,,,,,,,,low,,,,,,
IMG_7645.JPG,10,,,,,,,,,,low,,,,,,
IMG_7646.JPG,11,,,,,,,,,,low,,,,,,
IMG_7647.JPG,12,,,,,,,,,,low,,,,,,
IMG_7648.JPG,13,,,,,,,,,,low,,,,,,
IMG_7649.JPG,14,,,,,,,,,,low,,,,,,
IMG_7650.JPG,15,,,,,,,,,,low,,,,,,
IMG_7651.JPG,16,,,,,,,,,,low,,,,,,
IMG_7652.JPG,17,,,,,,,,,,low,,,,,,
IMG_7653.JPG,18,,,,,,,,,,low,,,,,,
IMG_7654.JPG,19,,,,,,,,,,low,,,,,,
IMG_7655.JPG,20,,,,,,,,,,low,,,,,,
IMG_7656 2.JPG,21,,,,,,,,,,low,,,,,,
IMG_7657 2.JPG,22,,,,,,,,,,low,,,,,,
