日付,時刻,自分のデッキ,相手のデッキ,レート,勝敗,先後,初手,大会,メモ
"2027-09-02","20:24:02","XXX2","メガダークライ","1405","負け","後攻","B","PTCGL夜",""
"2026-09-03","10:08:16","XXX2","ゾロアーク","1404","負け","先攻","B","PTCGL午前",""
"2026-09-03","10:07:43","メガダークライ１","リザードン","1416","勝ち","先攻","B","PTCGL午前",""
"2026-09-02","17:47:52","XXX2","メガサメハダー","1418","勝ち","後攻","C","PTCGL夜",""
"2026-09-02","17:47:18","XXX2","ゾロアーク","1407","勝ち","先攻","B","PTCGL午後",""
"2026-09-02","13:10:33","XXX2","メガシャンドラ","1395","勝ち","後攻","B","PTCGL午前",""
"2026-09-02","08:19:46","XXX2","ロケットミューツー","1383","勝ち","後攻","A","PTCGL午前",""
"2026-09-02","07:27:35","XXX2","フーディン","1371","勝ち","後攻","C","PTCGL午前",""
"2026-09-01","09:58:10","XXX2","オマツリ音頭","1360","勝ち","後攻","B","PTCGL午前",""
"2026-09-01","07:21:29","メガダークライ１","メガゼラオラ","1349","勝ち","先攻","B","PTCGL午前",""
"2026-07-21","18:48:30","メガダークライ１","リザードン","","勝ち","後攻","B","PTCGL夜",""
"2026-07-21","18:47:41","メガドリューズ","メガスターミー","","負け","先攻","B","PTCGL夜",""
"2026-07-18","18:34:51","メガドリューズ","メガゼラオラ","","負け","先攻","B","PTCGL夜",""
"2026-07-17","22:38:01","メガドリューズ","メガライボルト","","勝ち","先攻","B","PTCGL夜",""
"2026-07-17","21:30:41","メガドリューズ","メガルカリオ","","勝ち","先攻","B","PTCGL夜",""
"2026-07-17","21:20:39","メガドリューズ","メガガルーラ","","負け","先攻","B","",""
"2026-07-17","21:20:13","メガドリューズ","メガルカリオ","","勝ち","先攻","B","PTCGL夜",""
"2026-07-17","21:19:36","メガドリューズ","メガフシギバナ","","勝ち","先攻","B","PTCGL夜",""
"2026-07-17","15:15:37","メガダークライ１","メガドリューズ","","負け","先攻","B","PTCGL午後",""
"2026-07-17","14:58:07","メガダークライ１","バケガクレ","","負け","先攻","B","PTCGL午前",""
"2026-07-17","13:56:03","kingdora","メガドリューズ","","負け","先攻","B","PTCGL午後",""
"2026-07-17","13:55:21","kingdora","ホップのオーロット","","勝ち","先攻","B","PTCGL午後",""
"2026-07-17","11:42:22","メガダークライ１","スピアー","","負け","先攻","B","PTCGL午前",""
"2026-07-17","11:41:47","Mega Lucario ex 3","メガダークライ","","負け","先攻","B","PTCGL午前",""
"2026-07-17","11:28:24","メガダークライ１","ドラパルト","","勝ち","先攻","B","PTCGL午前",""
"2026-07-17","08:00:57","メガダークライ１","メガフシギバナ","","負け","先攻","B","PTCGL午前",""
"2026-07-17","08:00:00","メガダークライ１","メガゼラオラ","","勝ち","先攻","B","PTCGL午前",""
"2026-07-16","17:08:39","NEW GEKKO","メガスターミー","","勝ち","先攻","B","PTCGL午後",""
"2026-07-16","10:33:24","NEW GEKKO","メガガルーラ","","勝ち","先攻","B","PTCGL午前",""
"2026-07-16","00:08:14","NEW GEKKO","ゾロアーク","","負け","先攻","B","",""
"2026-07-15","23:34:38","NEW GEKKO","ヤバチャ","","勝ち","先攻","B","",""
"2026-07-15","23:33:51","NEW GEKKO","イワパレス","","負け","先攻","B","PTCGL夜",""
"2026-07-15","23:07:43","NEW GEKKO","フーディン","","勝ち","先攻","B","PTCGL夜",""
"2026-07-15","23:06:37","NEW GEKKO","ホップのザシアン","","勝ち","先攻","B","PTCGL夜",""
"2026-07-15","06:42:26","NEW GEKKO","メガフシギバナ","","負け","先攻","B","PTCGL午前",""
"2026-07-15","06:41:39","XXX2","アブソル","","勝ち","先攻","B","PTCGL午前",""
"2026-07-14","20:46:59","XXX2","イーブイズ","","勝ち","先攻","B","",""
"2026-07-14","20:46:31","XXX2","ドラパルト","","負け","先攻","B","PTCGL夜",""
